"id,state,county,rate"
"01001,Alabama,Autauga County,0"
"01003,Alabama,Baldwin County,0"
"01005,Alabama,Barbour County,0"
"01007,Alabama,Bibb County,0"
"01009,Alabama,Blount County,0"
"01011,Alabama,Bullock County,0"
"20003,Kansas,Anderson County,151"
"01015,Alabama,Calhoun County,0"
"01017,Alabama,Chambers County,0"
"01019,Alabama,Cherokee County,0"
"01021,Alabama,Chilton County,0"
"01023,Alabama,Choctaw County,0"
"01025,Alabama,Clarke County,0"
"48157,Texas,Fort Bend County,77"
"01029,Alabama,Cleburne County,0"
"01031,Alabama,Coffee County,0"
"01033,Alabama,Colbert County,0"
"01035,Alabama,Conecuh County,0"
"01037,Alabama,Coosa County,0"
"01039,Alabama,Covington County,0"
"01041,Alabama,Crenshaw County,0"
"01043,Alabama,Cullman County,0"
"01045,Alabama,Dale County,0"
"06059,California,Orange County,52"
"17095,Illinois,Knox County,50"
"01051,Alabama,Elmore County,0"
"01053,Alabama,Escambia County,0"
"01055,Alabama,Etowah County,0"
"01057,Alabama,Fayette County,0"
"36061,New York,New York County,44"
"01061,Alabama,Geneva County,0"
"27019,Minnesota,Carver County,43"
"01065,Alabama,Hale County,0"
"01067,Alabama,Henry County,0"
"01069,Alabama,Houston County,0"
"08013,Colorado,Boulder County,38"
"42017,Pennsylvania,Bucks County,36"
"01075,Alabama,Lamar County,0"
"01077,Alabama,Lauderdale County,0"
"01079,Alabama,Lawrence County,0"
"42101,Pennsylvania,Philadelphia County,34"
"01083,Alabama,Limestone County,0"
"01085,Alabama,Lowndes County,0"
"01087,Alabama,Macon County,0"
"24005,Maryland,Baltimore County,30"
"01091,Alabama,Marengo County,0"
"01093,Alabama,Marion County,0"
"01095,Alabama,Marshall County,0"
"01097,Alabama,Mobile County,0"
"48269,Texas,King County,28"
"17131,Illinois,Mercer County,28"
"01103,Alabama,Morgan County,0"
"01105,Alabama,Perry County,0"
"13067,Georgia,Cobb County,26"
"01109,Alabama,Pike County,0"
"01111,Alabama,Randolph County,0"
"01113,Alabama,Russell County,0"
"48209,Texas,Hays County,26"
"53035,Washington,Kitsap County,25"
"01119,Alabama,Sumter County,0"
"01121,Alabama,Talladega County,0"
"01123,Alabama,Tallapoosa County,0"
"51087,Virginia,Henrico County,24"
"01127,Alabama,Walker County,0"
"48453,Texas,Travis County,24"
"01131,Alabama,Wilcox County,0"
"01133,Alabama,Winston County,0"
"02013,Alaska,Aleutians East Borough,0"
"02016,Alaska,Aleutians West Census Area,0"
"02020,Alaska,Anchorage Municipality,0"
"02050,Alaska,Bethel Census Area,0"
"02060,Alaska,Bristol Bay Borough,0"
"02068,Alaska,Denali Borough,0"
"02070,Alaska,Dillingham Census Area,0"
"02090,Alaska,Fairbanks North Star Borough,0"
"02100,Alaska,Haines Borough,0"
"02105,Alaska,Hoonah-Angoon Census Area,0"
"02110,Alaska,Juneau City and Borough,0"
"02122,Alaska,Kenai Peninsula Borough,0"
"02130,Alaska,Ketchikan Gateway Borough,0"
"02150,Alaska,Kodiak Island Borough,0"
"02158,Alaska,Kusilvak Census Area,0"
"02164,Alaska,Lake and Peninsula Borough,0"
"02170,Alaska,Matanuska-Susitna Borough,0"
"02180,Alaska,Nome Census Area,0"
"02185,Alaska,North Slope Borough,0"
"02188,Alaska,Northwest Arctic Borough,0"
"02195,Alaska,Petersburg Census Area,0"
"02198,Alaska,Prince of Wales-Hyder Census Area,0"
"02220,Alaska,Sitka City and Borough,0"
"02230,Alaska,Skagway Municipality,0"
"02240,Alaska,Southeast Fairbanks Census Area,0"
"02261,Alaska,Valdez-Cordova Census Area,0"
"02275,Alaska,Wrangell City and Borough,0"
"02282,Alaska,Yakutat City and Borough,0"
"02290,Alaska,Yukon-Koyukuk Census Area,0"
"04001,Arizona,Apache County,0"
"04003,Arizona,Cochise County,0"
"17197,Illinois,Will County,11"
"04007,Arizona,Gila County,0"
"04009,Arizona,Graham County,0"
"04011,Arizona,Greenlee County,0"
"04012,Arizona,La Paz County,0"
"22033,Louisiana,East Baton Rouge Parish,10"
"04015,Arizona,Mohave County,0"
"04017,Arizona,Navajo County,0"
"34025,New Jersey,Monmouth County,10"
"04021,Arizona,Pinal County,0"
"01107,Alabama,Pickens County,9"
"44007,Rhode Island,Providence County,9"
"04027,Arizona,Yuma County,0"
"05001,Arkansas,Arkansas County,0"
"05003,Arkansas,Ashley County,0"
"05005,Arkansas,Baxter County,0"
"48029,Texas,Bexar County,8"
"41005,Oregon,Clackamas County,8"
"05011,Arkansas,Bradley County,0"
"05013,Arkansas,Calhoun County,0"
"05015,Arkansas,Carroll County,0"
"05017,Arkansas,Chicot County,0"
"49035,Utah,Salt Lake County,8"
"05021,Arkansas,Clay County,0"
"05023,Arkansas,Cleburne County,0"
"45003,South Carolina,Aiken County,7"
"05027,Arkansas,Columbia County,0"
"05029,Arkansas,Conway County,0"
"05031,Arkansas,Craighead County,0"
"05033,Arkansas,Crawford County,0"
"05035,Arkansas,Crittenden County,0"
"05037,Arkansas,Cross County,0"
"05039,Arkansas,Dallas County,0"
"05041,Arkansas,Desha County,0"
"05043,Arkansas,Drew County,0"
"05045,Arkansas,Faulkner County,0"
"05047,Arkansas,Franklin County,0"
"04005,Arizona,Coconino County,6"
"05051,Arkansas,Garland County,0"
"05053,Arkansas,Grant County,0"
"05055,Arkansas,Greene County,0"
"05057,Arkansas,Hempstead County,0"
"05059,Arkansas,Hot Spring County,0"
"06111,California,Ventura County,5"
"05063,Arkansas,Independence County,0"
"05065,Arkansas,Izard County,0"
"05067,Arkansas,Jackson County,0"
"05069,Arkansas,Jefferson County,0"
"05025,Arkansas,Cleveland County,4"
"05073,Arkansas,Lafayette County,0"
"05075,Arkansas,Lawrence County,0"
"05077,Arkansas,Lee County,0"
"05079,Arkansas,Lincoln County,0"
"05081,Arkansas,Little River County,0"
"05083,Arkansas,Logan County,0"
"05085,Arkansas,Lonoke County,0"
"05087,Arkansas,Madison County,0"
"05089,Arkansas,Marion County,0"
"05091,Arkansas,Miller County,0"
"05093,Arkansas,Mississippi County,0"
"05095,Arkansas,Monroe County,0"
"05097,Arkansas,Montgomery County,0"
"05099,Arkansas,Nevada County,0"
"05101,Arkansas,Newton County,0"
"05103,Arkansas,Ouachita County,0"
"05105,Arkansas,Perry County,0"
"05107,Arkansas,Phillips County,0"
"05109,Arkansas,Pike County,0"
"05111,Arkansas,Poinsett County,0"
"05113,Arkansas,Polk County,0"
"05115,Arkansas,Pope County,0"
"05117,Arkansas,Prairie County,0"
"39173,Ohio,Wood County,3"
"05121,Arkansas,Randolph County,0"
"05123,Arkansas,St. Francis County,0"
"05125,Arkansas,Saline County,0"
"05127,Arkansas,Scott County,0"
"05129,Arkansas,Searcy County,0"
"05131,Arkansas,Sebastian County,0"
"05133,Arkansas,Sevier County,0"
"05135,Arkansas,Sharp County,0"
"05137,Arkansas,Stone County,0"
"37081,North Carolina,Guilford County,2"
"05141,Arkansas,Van Buren County,0"
"05143,Arkansas,Washington County,0"
"05145,Arkansas,White County,0"
"05147,Arkansas,Woodruff County,0"
"05149,Arkansas,Yell County,0"
"16071,Idaho,Oneida County,2"
"06003,California,Alpine County,0"
"06005,California,Amador County,0"
"06007,California,Butte County,0"
"06009,California,Calaveras County,0"
"06011,California,Colusa County,0"
"37161,North Carolina,Rutherford County,2"
"06015,California,Del Norte County,0"
"06017,California,El Dorado County,0"
"06019,California,Fresno County,0"
"06021,California,Glenn County,0"
"06023,California,Humboldt County,0"
"06025,California,Imperial County,0"
"06027,California,Inyo County,0"
"25001,Massachusetts,Barnstable County,1"
"06031,California,Kings County,0"
"06033,California,Lake County,0"
"06035,California,Lassen County,0"
"45019,South Carolina,Charleston County,1"
"06039,California,Madera County,0"
"06041,California,Marin County,0"
"06043,California,Mariposa County,0"
"06045,California,Mendocino County,0"
"26045,Michigan,Eaton County,1"
"06049,California,Modoc County,0"
"06051,California,Mono County,0"
"48167,Texas,Galveston County,1"
"06055,California,Napa County,0"
"06057,California,Nevada County,0"
"39093,Ohio,Lorain County,1"
"39099,Ohio,Mahoning County,1"
"06063,California,Plumas County,0"
"06053,California,Monterey County,1"
"12091,Florida,Okaloosa County,1"
"06069,California,San Benito County,0"
"12099,Florida,Palm Beach County,1"
"06061,California,Placer County,1"
"06075,California,San Francisco County,0"
"06077,California,San Joaquin County,0"
"06071,California,San Bernardino County,1"
"06079,California,San Luis Obispo County,1"
"17167,Illinois,Sangamon County,1"
"36091,New York,Saratoga County,1"
"06087,California,Santa Cruz County,0"
"06089,California,Shasta County,0"
"06091,California,Sierra County,0"
"06093,California,Siskiyou County,0"
"51177,Virginia,Spotsylvania County,1"
"01115,Alabama,St. Clair County,1"
"06099,California,Stanislaus County,0"
"06101,California,Sutter County,0"
"06103,California,Tehama County,0"
"06105,California,Trinity County,0"
"06107,California,Tulare County,0"
"06109,California,Tuolumne County,0"
"06115,California,Yuba County,0"
"08003,Colorado,Alamosa County,0"
"08007,Colorado,Archuleta County,0"
"08009,Colorado,Baca County,0"
"08011,Colorado,Bent County,0"
"08014,Colorado,Broomfield County,0"
"08015,Colorado,Chaffee County,0"
"08017,Colorado,Cheyenne County,0"
"08019,Colorado,Clear Creek County,0"
"08021,Colorado,Conejos County,0"
"08023,Colorado,Costilla County,0"
"08025,Colorado,Crowley County,0"
"08027,Colorado,Custer County,0"
"08029,Colorado,Delta County,0"
"08031,Colorado,Denver County,0"
"08033,Colorado,Dolores County,0"
"08037,Colorado,Eagle County,0"
"08039,Colorado,Elbert County,0"
"08043,Colorado,Fremont County,0"
"08045,Colorado,Garfield County,0"
"08047,Colorado,Gilpin County,0"
"08049,Colorado,Grand County,0"
"08051,Colorado,Gunnison County,0"
"08053,Colorado,Hinsdale County,0"
"08055,Colorado,Huerfano County,0"
"08057,Colorado,Jackson County,0"
"08059,Colorado,Jefferson County,0"
"08061,Colorado,Kiowa County,0"
"08063,Colorado,Kit Carson County,0"
"08065,Colorado,Lake County,0"
"08067,Colorado,La Plata County,0"
"08069,Colorado,Larimer County,0"
"08071,Colorado,Las Animas County,0"
"08073,Colorado,Lincoln County,0"
"08075,Colorado,Logan County,0"
"08077,Colorado,Mesa County,0"
"08079,Colorado,Mineral County,0"
"08081,Colorado,Moffat County,0"
"08083,Colorado,Montezuma County,0"
"08085,Colorado,Montrose County,0"
"08087,Colorado,Morgan County,0"
"08089,Colorado,Otero County,0"
"08091,Colorado,Ouray County,0"
"08093,Colorado,Park County,0"
"08095,Colorado,Phillips County,0"
"08097,Colorado,Pitkin County,0"
"08099,Colorado,Prowers County,0"
"08101,Colorado,Pueblo County,0"
"08103,Colorado,Rio Blanco County,0"
"08105,Colorado,Rio Grande County,0"
"08107,Colorado,Routt County,0"
"08109,Colorado,Saguache County,0"
"08111,Colorado,San Juan County,0"
"08113,Colorado,San Miguel County,0"
"08119,Colorado,Teller County,0"
"08121,Colorado,Washington County,0"
"08125,Colorado,Yuma County,0"
"09005,Connecticut,Litchfield County,0"
"09015,Connecticut,Windham County,0"
"10001,Delaware,Kent County,0"
"10005,Delaware,Sussex County,0"
"12003,Florida,Baker County,0"
"12007,Florida,Bradford County,0"
"12011,Florida,Broward County,0"
"12013,Florida,Calhoun County,0"
"12015,Florida,Charlotte County,0"
"12017,Florida,Citrus County,0"
"12019,Florida,Clay County,0"
"12021,Florida,Collier County,0"
"12023,Florida,Columbia County,0"
"12027,Florida,DeSoto County,0"
"12029,Florida,Dixie County,0"
"12031,Florida,Duval County,0"
"12033,Florida,Escambia County,0"
"12035,Florida,Flagler County,0"
"12037,Florida,Franklin County,0"
"12039,Florida,Gadsden County,0"
"12041,Florida,Gilchrist County,0"
"12043,Florida,Glades County,0"
"12045,Florida,Gulf County,0"
"12049,Florida,Hardee County,0"
"12051,Florida,Hendry County,0"
"12053,Florida,Hernando County,0"
"12055,Florida,Highlands County,0"
"12059,Florida,Holmes County,0"
"12061,Florida,Indian River County,0"
"12063,Florida,Jackson County,0"
"12065,Florida,Jefferson County,0"
"12067,Florida,Lafayette County,0"
"12069,Florida,Lake County,0"
"12071,Florida,Lee County,0"
"12075,Florida,Levy County,0"
"12077,Florida,Liberty County,0"
"12079,Florida,Madison County,0"
"12081,Florida,Manatee County,0"
"12083,Florida,Marion County,0"
"12085,Florida,Martin County,0"
"12087,Florida,Monroe County,0"
"12093,Florida,Okeechobee County,0"
"12095,Florida,Orange County,0"
"12097,Florida,Osceola County,0"
"12101,Florida,Pasco County,0"
"12105,Florida,Polk County,0"
"12107,Florida,Putnam County,0"
"12109,Florida,St. Johns County,0"
"12111,Florida,St. Lucie County,0"
"12113,Florida,Santa Rosa County,0"
"12115,Florida,Sarasota County,0"
"12119,Florida,Sumter County,0"
"12121,Florida,Suwannee County,0"
"12123,Florida,Taylor County,0"
"12125,Florida,Union County,0"
"12127,Florida,Volusia County,0"
"12129,Florida,Wakulla County,0"
"12131,Florida,Walton County,0"
"12133,Florida,Washington County,0"
"13001,Georgia,Appling County,0"
"13003,Georgia,Atkinson County,0"
"13005,Georgia,Bacon County,0"
"13007,Georgia,Baker County,0"
"13009,Georgia,Baldwin County,0"
"13011,Georgia,Banks County,0"
"13013,Georgia,Barrow County,0"
"13015,Georgia,Bartow County,0"
"13017,Georgia,Ben Hill County,0"
"13019,Georgia,Berrien County,0"
"13021,Georgia,Bibb County,0"
"13023,Georgia,Bleckley County,0"
"13025,Georgia,Brantley County,0"
"13027,Georgia,Brooks County,0"
"13029,Georgia,Bryan County,0"
"13031,Georgia,Bulloch County,0"
"13033,Georgia,Burke County,0"
"13035,Georgia,Butts County,0"
"13037,Georgia,Calhoun County,0"
"13039,Georgia,Camden County,0"
"13043,Georgia,Candler County,0"
"13045,Georgia,Carroll County,0"
"13047,Georgia,Catoosa County,0"
"13049,Georgia,Charlton County,0"
"13051,Georgia,Chatham County,0"
"13053,Georgia,Chattahoochee County,0"
"13055,Georgia,Chattooga County,0"
"13057,Georgia,Cherokee County,0"
"13059,Georgia,Clarke County,0"
"13061,Georgia,Clay County,0"
"13063,Georgia,Clayton County,0"
"13065,Georgia,Clinch County,0"
"13069,Georgia,Coffee County,0"
"13071,Georgia,Colquitt County,0"
"13073,Georgia,Columbia County,0"
"13077,Georgia,Coweta County,0"
"13079,Georgia,Crawford County,0"
"13081,Georgia,Crisp County,0"
"13083,Georgia,Dade County,0"
"13085,Georgia,Dawson County,0"
"13087,Georgia,Decatur County,0"
"13089,Georgia,DeKalb County,0"
"13091,Georgia,Dodge County,0"
"13093,Georgia,Dooly County,0"
"13095,Georgia,Dougherty County,0"
"13097,Georgia,Douglas County,0"
"13099,Georgia,Early County,0"
"13101,Georgia,Echols County,0"
"13103,Georgia,Effingham County,0"
"13105,Georgia,Elbert County,0"
"13107,Georgia,Emanuel County,0"
"13109,Georgia,Evans County,0"
"13111,Georgia,Fannin County,0"
"13113,Georgia,Fayette County,0"
"13115,Georgia,Floyd County,0"
"13117,Georgia,Forsyth County,0"
"13119,Georgia,Franklin County,0"
"13121,Georgia,Fulton County,0"
"13123,Georgia,Gilmer County,0"
"13125,Georgia,Glascock County,0"
"13127,Georgia,Glynn County,0"
"13129,Georgia,Gordon County,0"
"13131,Georgia,Grady County,0"
"13133,Georgia,Greene County,0"
"13137,Georgia,Habersham County,0"
"13139,Georgia,Hall County,0"
"13141,Georgia,Hancock County,0"
"13143,Georgia,Haralson County,0"
"13147,Georgia,Hart County,0"
"13149,Georgia,Heard County,0"
"13151,Georgia,Henry County,0"
"13153,Georgia,Houston County,0"
"13155,Georgia,Irwin County,0"
"13157,Georgia,Jackson County,0"
"13159,Georgia,Jasper County,0"
"13161,Georgia,Jeff Davis County,0"
"13163,Georgia,Jefferson County,0"
"13165,Georgia,Jenkins County,0"
"13167,Georgia,Johnson County,0"
"13169,Georgia,Jones County,0"
"13171,Georgia,Lamar County,0"
"13173,Georgia,Lanier County,0"
"13175,Georgia,Laurens County,0"
"13177,Georgia,Lee County,0"
"13179,Georgia,Liberty County,0"
"13181,Georgia,Lincoln County,0"
"13183,Georgia,Long County,0"
"13185,Georgia,Lowndes County,0"
"13187,Georgia,Lumpkin County,0"
"13189,Georgia,McDuffie County,0"
"13191,Georgia,McIntosh County,0"
"13193,Georgia,Macon County,0"
"13195,Georgia,Madison County,0"
"13197,Georgia,Marion County,0"
