id,state,county,rate
01001,Alabama,Autauga County,2
01003,Alabama,Baldwin County,2
01005,Alabama,Barbour County,2
01007,Alabama,Bibb County,2
01009,Alabama,Blount County,2
01011,Alabama,Bullock County,2
01013,Alabama,Butler County,2
01015,Alabama,Calhoun County,2
01017,Alabama,Chambers County,2
01019,Alabama,Cherokee County,2
01021,Alabama,Chilton County,2
01023,Alabama,Choctaw County,2
01025,Alabama,Clarke County,2
01027,Alabama,Clay County,2
01029,Alabama,Cleburne County,2
01031,Alabama,Coffee County,2
01033,Alabama,Colbert County,2
01035,Alabama,Conecuh County,2
01037,Alabama,Coosa County,2
01039,Alabama,Covington County,2
01041,Alabama,Crenshaw County,2
01043,Alabama,Cullman County,2
01045,Alabama,Dale County,2
01047,Alabama,Dallas County,2
01049,Alabama,DeKalb County,3
01051,Alabama,Elmore County,2
01053,Alabama,Escambia County,2
01055,Alabama,Etowah County,2
01057,Alabama,Fayette County,2
01059,Alabama,Franklin County,3
01061,Alabama,Geneva County,2
01063,Alabama,Greene County,10
01065,Alabama,Hale County,2
01067,Alabama,Henry County,2
01069,Alabama,Houston County,2
01071,Alabama,Jackson County,2
01073,Alabama,Jefferson County,5
01075,Alabama,Lamar County,2
01077,Alabama,Lauderdale County,2
01079,Alabama,Lawrence County,2
01081,Alabama,Lee County,2
01083,Alabama,Limestone County,2
01085,Alabama,Lowndes County,2
01087,Alabama,Macon County,2
01089,Alabama,Madison County,2
01091,Alabama,Marengo County,2
01093,Alabama,Marion County,2
01095,Alabama,Marshall County,2
01097,Alabama,Mobile County,2
01099,Alabama,Monroe County,2
01101,Alabama,Montgomery County,28
01103,Alabama,Morgan County,2
01105,Alabama,Perry County,2
01107,Alabama,Pickens County,2
01109,Alabama,Pike County,2
01111,Alabama,Randolph County,2
01113,Alabama,Russell County,2
01115,Alabama,St. Clair County,2
01117,Alabama,Shelby County,2
01119,Alabama,Sumter County,2
01121,Alabama,Talladega County,2
01123,Alabama,Tallapoosa County,2
01125,Alabama,Tuscaloosa County,2
01127,Alabama,Walker County,2
01129,Alabama,Washington County,2
01131,Alabama,Wilcox County,2
01133,Alabama,Winston County,2
02013,Alaska,Aleutians East Borough,2
02016,Alaska,Aleutians West Census Area,2
02020,Alaska,Anchorage Municipality,2
02050,Alaska,Bethel Census Area,2
02060,Alaska,Bristol Bay Borough,2
02068,Alaska,Denali Borough,2
02070,Alaska,Dillingham Census Area,2
02090,Alaska,Fairbanks North Star Borough,2
02100,Alaska,Haines Borough,2
02105,Alaska,Hoonah-Angoon Census Area,2
02110,Alaska,Juneau City and Borough,2
02122,Alaska,Kenai Peninsula Borough,2
02130,Alaska,Ketchikan Gateway Borough,2
02150,Alaska,Kodiak Island Borough,2
02158,Alaska,Kusilvak Census Area,2
02164,Alaska,Lake and Peninsula Borough,2
02170,Alaska,Matanuska-Susitna Borough,2
02180,Alaska,Nome Census Area,2
02185,Alaska,North Slope Borough,2
02188,Alaska,Northwest Arctic Borough,2
02195,Alaska,Petersburg Census Area,2
02198,Alaska,Prince of Wales-Hyder Census Area,2
02220,Alaska,Sitka City and Borough,2
02230,Alaska,Skagway Municipality,2
02240,Alaska,Southeast Fairbanks Census Area,2
02261,Alaska,Valdez-Cordova Census Area,2
02275,Alaska,Wrangell City and Borough,2
02282,Alaska,Yakutat City and Borough,2
02290,Alaska,Yukon-Koyukuk Census Area,2
04001,Arizona,Apache County,2
04003,Arizona,Cochise County,2
04005,Arizona,Coconino County,2
04007,Arizona,Gila County,2
04009,Arizona,Graham County,2
04011,Arizona,Greenlee County,2
04012,Arizona,La Paz County,2
04013,Arizona,Maricopa County,6
04015,Arizona,Mohave County,2
04017,Arizona,Navajo County,2
04019,Arizona,Pima County,2
04021,Arizona,Pinal County,2
04023,Arizona,Santa Cruz County,2
04025,Arizona,Yavapai County,2
04027,Arizona,Yuma County,2
05001,Arkansas,Arkansas County,2
05003,Arkansas,Ashley County,2
05005,Arkansas,Baxter County,2
05007,Arkansas,Benton County,5
05009,Arkansas,Boone County,2
05011,Arkansas,Bradley County,2
05013,Arkansas,Calhoun County,2
05015,Arkansas,Carroll County,2
05017,Arkansas,Chicot County,2
05019,Arkansas,Clark County,2
05021,Arkansas,Clay County,2
05023,Arkansas,Cleburne County,2
05025,Arkansas,Cleveland County,2
05027,Arkansas,Columbia County,2
05029,Arkansas,Conway County,2
05031,Arkansas,Craighead County,2
05033,Arkansas,Crawford County,2
05035,Arkansas,Crittenden County,2
05037,Arkansas,Cross County,2
05039,Arkansas,Dallas County,2
05041,Arkansas,Desha County,2
05043,Arkansas,Drew County,2
05045,Arkansas,Faulkner County,2
05047,Arkansas,Franklin County,2
05049,Arkansas,Fulton County,3
05051,Arkansas,Garland County,2
05053,Arkansas,Grant County,2
05055,Arkansas,Greene County,2
05057,Arkansas,Hempstead County,2
05059,Arkansas,Hot Spring County,2
05061,Arkansas,Howard County,4
05063,Arkansas,Independence County,2
05065,Arkansas,Izard County,2
05067,Arkansas,Jackson County,2
05069,Arkansas,Jefferson County,2
05071,Arkansas,Johnson County,2
05073,Arkansas,Lafayette County,2
05075,Arkansas,Lawrence County,2
05077,Arkansas,Lee County,2
05079,Arkansas,Lincoln County,2
05081,Arkansas,Little River County,2
05083,Arkansas,Logan County,2
05085,Arkansas,Lonoke County,2
05087,Arkansas,Madison County,2
05089,Arkansas,Marion County,2
05091,Arkansas,Miller County,2
05093,Arkansas,Mississippi County,2
05095,Arkansas,Monroe County,2
05097,Arkansas,Montgomery County,2
05099,Arkansas,Nevada County,2
05101,Arkansas,Newton County,2
05103,Arkansas,Ouachita County,2
05105,Arkansas,Perry County,2
05107,Arkansas,Phillips County,2
05109,Arkansas,Pike County,2
05111,Arkansas,Poinsett County,2
05113,Arkansas,Polk County,2
05115,Arkansas,Pope County,2
05117,Arkansas,Prairie County,2
05119,Arkansas,Pulaski County,2
05121,Arkansas,Randolph County,2
05123,Arkansas,St. Francis County,2
05125,Arkansas,Saline County,2
05127,Arkansas,Scott County,2
05129,Arkansas,Searcy County,2
05131,Arkansas,Sebastian County,2
05133,Arkansas,Sevier County,2
05135,Arkansas,Sharp County,2
05137,Arkansas,Stone County,2
05139,Arkansas,Union County,6
05141,Arkansas,Van Buren County,2
05143,Arkansas,Washington County,2
05145,Arkansas,White County,2
05147,Arkansas,Woodruff County,2
05149,Arkansas,Yell County,2
06001,California,Alameda County,14
06003,California,Alpine County,2
06005,California,Amador County,2
06007,California,Butte County,2
06009,California,Calaveras County,2
06011,California,Colusa County,2
06013,California,Contra Costa County,2
06015,California,Del Norte County,2
06017,California,El Dorado County,2
06019,California,Fresno County,2
06021,California,Glenn County,2
06023,California,Humboldt County,2
06025,California,Imperial County,2
06027,California,Inyo County,2
06029,California,Kern County,2
06031,California,Kings County,2
06033,California,Lake County,2
06035,California,Lassen County,2
06037,California,Los Angeles County,11
06039,California,Madera County,2
06041,California,Marin County,2
06043,California,Mariposa County,2
06045,California,Mendocino County,2
06047,California,Merced County,2
06049,California,Modoc County,2
06051,California,Mono County,2
06053,California,Monterey County,2
06055,California,Napa County,2
06057,California,Nevada County,2
06059,California,Orange County,5
06061,California,Placer County,2
06063,California,Plumas County,2
06065,California,Riverside County,2
06067,California,Sacramento County,2
06069,California,San Benito County,2
06071,California,San Bernardino County,2
06073,California,San Diego County,5
06075,California,San Francisco County,2
06077,California,San Joaquin County,2
06079,California,San Luis Obispo County,2
06081,California,San Mateo County,3
06083,California,Santa Barbara County,4
06085,California,Santa Clara County,16
06087,California,Santa Cruz County,2
06089,California,Shasta County,2
06091,California,Sierra County,2
06093,California,Siskiyou County,2
06095,California,Solano County,2
06097,California,Sonoma County,2
06099,California,Stanislaus County,2
06101,California,Sutter County,2
06103,California,Tehama County,2
06105,California,Trinity County,2
06107,California,Tulare County,2
06109,California,Tuolumne County,2
06111,California,Ventura County,2
06113,California,Yolo County,2
06115,California,Yuba County,2
08001,Colorado,Adams County,2
08003,Colorado,Alamosa County,2
08005,Colorado,Arapahoe County,2
08007,Colorado,Archuleta County,2
08009,Colorado,Baca County,2
08011,Colorado,Bent County,2
08013,Colorado,Boulder County,4
08014,Colorado,Broomfield County,2
08015,Colorado,Chaffee County,2
08017,Colorado,Cheyenne County,2
08019,Colorado,Clear Creek County,2
08021,Colorado,Conejos County,2
08023,Colorado,Costilla County,2
08025,Colorado,Crowley County,2
08027,Colorado,Custer County,2
08029,Colorado,Delta County,2
08031,Colorado,Denver County,2
08033,Colorado,Dolores County,2
08035,Colorado,Douglas County,2
08037,Colorado,Eagle County,2
08039,Colorado,Elbert County,2
08041,Colorado,El Paso County,2
08043,Colorado,Fremont County,2
08045,Colorado,Garfield County,2
08047,Colorado,Gilpin County,2
08049,Colorado,Grand County,2
08051,Colorado,Gunnison County,2
08053,Colorado,Hinsdale County,2
08055,Colorado,Huerfano County,2
08057,Colorado,Jackson County,2
08059,Colorado,Jefferson County,2
08061,Colorado,Kiowa County,2
08063,Colorado,Kit Carson County,2
08065,Colorado,Lake County,2
08067,Colorado,La Plata County,2
08069,Colorado,Larimer County,2
08071,Colorado,Las Animas County,2
08073,Colorado,Lincoln County,2
08075,Colorado,Logan County,2
08077,Colorado,Mesa County,2
08079,Colorado,Mineral County,2
08081,Colorado,Moffat County,2
08083,Colorado,Montezuma County,2
08085,Colorado,Montrose County,2
08087,Colorado,Morgan County,2
08089,Colorado,Otero County,2
08091,Colorado,Ouray County,2
08093,Colorado,Park County,2
08095,Colorado,Phillips County,2
08097,Colorado,Pitkin County,2
08099,Colorado,Prowers County,2
08101,Colorado,Pueblo County,2
08103,Colorado,Rio Blanco County,2
08105,Colorado,Rio Grande County,2
08107,Colorado,Routt County,2
08109,Colorado,Saguache County,2
08111,Colorado,San Juan County,2
08113,Colorado,San Miguel County,2
