id,state,county,rate
01101,Alabama,Montgomery County,1.5
06085,California,Santa Clara County,1.3
25025,Massachusetts,Suffolk County,1.2
11001,District of Columbia,District of Columbia,1.2
06001,California,Alameda County,1.2
09007,Connecticut,Middlesex County,1.2
20003,Kansas,Anderson County,1.2
06037,California,Los Angeles County,1.1
01063,Alabama,Greene County,1
17043,Illinois,DuPage County,1
35001,New Mexico,Bernalillo County,1
35043,New Mexico,Sandoval County,1
13145,Georgia,Harris County,0.9
48157,Texas,Fort Bend County,0.9
24033,Maryland,Prince George's County,0.8
13075,Georgia,Cook County,0.8
05139,Arkansas,Union County,0.8
04013,Arizona,Maricopa County,0.8
18035,Indiana,Delaware County,0.7
27053,Minnesota,Hennepin County,0.7
01073,Alabama,Jefferson County,0.7
05007,Arkansas,Benton County,0.7
06073,California,San Diego County,0.7
06059,California,Orange County,0.7
17095,Illinois,Knox County,0.7
42003,Pennsylvania,Allegheny County,0.7
12047,Florida,Hamilton County,0.7
06083,California,Santa Barbara County,0.7
24003,Maryland,Anne Arundel County,0.7
36061,New York,New York County,0.7
27003,Minnesota,Anoka County,0.7
27019,Minnesota,Carver County,0.7
39025,Ohio,Clermont County,0.7
37183,North Carolina,Wake County,0.7
05061,Arkansas,Howard County,0.7
08013,Colorado,Boulder County,0.7
42017,Pennsylvania,Bucks County,0.5
36109,New York,Tompkins County,0.5
36001,New York,Albany County,0.5
51059,Virginia,Fairfax County,0.5
42101,Pennsylvania,Philadelphia County,0.5
06081,California,San Mateo County,0.5
10003,Delaware,New Castle County,0.5
12001,Florida,Alachua County,0.5
24005,Maryland,Baltimore County,0.5
39035,Ohio,Cuyahoga County,0.5
51107,Virginia,Loudoun County,0.5
26161,Michigan,Washtenaw County,0.5
24510,Maryland,Baltimore city,0.5
48269,Texas,King County,0.5
17131,Illinois,Mercer County,0.5
55025,Wisconsin,Dane County,0.5
17019,Illinois,Champaign County,0.5
13067,Georgia,Cobb County,0.5
01049,Alabama,DeKalb County,0.5
01059,Alabama,Franklin County,0.5
05049,Arkansas,Fulton County,0.5
48209,Texas,Hays County,0.5
53035,Washington,Kitsap County,0.5
45025,South Carolina,Chesterfield County,0.4
37057,North Carolina,Davidson County,0.4
51075,Virginia,Goochland County,0.4
51087,Virginia,Henrico County,0.4
36083,New York,Rensselaer County,0.4
48453,Texas,Travis County,0.4
17199,Illinois,Williamson County,0.4
25009,Massachusetts,Essex County,0.4
42077,Pennsylvania,Lehigh County,0.4
12073,Florida,Leon County,0.4
01129,Alabama,Washington County,0.4
06113,California,Yolo County,0.4
51013,Virginia,Arlington County,0.4
01047,Alabama,Dallas County,0.4
19169,Iowa,Story County,0.4
01099,Alabama,Monroe County,0.4
36093,New York,Schenectady County,0.4
12009,Florida,Brevard County,0.4
04019,Arizona,Pima County,0.4
08117,Colorado,Summit County,0.4
24047,Maryland,Worcester County,0.4
25015,Massachusetts,Hampshire County,0.4
36119,New York,Westchester County,0.4
08005,Colorado,Arapahoe County,0.4
54061,West Virginia,Monongalia County,0.4
08001,Colorado,Adams County,0.4
31109,Nebraska,Lancaster County,0.4
25021,Massachusetts,Norfolk County,0.4
05009,Arkansas,Boone County,0.4
48085,Texas,Collin County,0.4
37063,North Carolina,Durham County,0.4
36029,New York,Erie County,0.4
37131,North Carolina,Northampton County,0.4
48439,Texas,Tarrant County,0.4
24025,Maryland,Harford County,0
09009,Connecticut,New Haven County,0
04023,Arizona,Santa Cruz County,0
24021,Maryland,Frederick County,0
